Date,Item,Supplier,Amount,Paid Via,Category,Purchasee,Full Amount,TIN,Invoice No.,Address
"September 4, 2025","Warabi Mochi","Lalamove",171.00,Cash,Supplies,Store,,,,
"September 3, 2025","Coffee beans","Plain Sight",3136.00,Non-Cash,Supplies,Store,,,,
"September 3, 2025","Delivery","Grab Mart",2274.00,Non-Cash,Supplies,Store,,,,
"September 3, 2025","Tip","Lalamove",130.00,Cash,Delivery,Store,,,,
"September 3, 2025","Coconut Water 1500ml","Fruitas",255.00,Cash,Supplies,Store,,,,
"September 3, 2025","Ice bags","R&BTube Ice",180.00,Cash,Supplies,Store,,,,
"September 2, 2025","Ice","Ivoryway",90.00,Cash,Supplies,Store,,,,
"September 1, 2025","Arla whipping cream (4)","SM Supermarket",1964.00,Cash,Supplies,Store,,,,
"September 1, 2025","Ice","Ivoryway",337.50,Cash,Supplies,Store,,,,
"August 31, 2025","Dairy, whipped cream, dalandan concentrate, condensed milk","Robinson's Supermarket Corporation",2495.00,Non-Cash,Supplies,Store,,,,
"August 31, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"August 31, 2025","Coconut water","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 30, 2025","Grocery","Supermarket",2752.00,Cash,Supplies,Store,,,,
"August 30, 2025","Delivery Tip","Grab",100.00,Cash,Delivery,Store,,,,
"August 30, 2025","Ice","R&BTube Ice",295.00,Cash,Supplies,Store,,,,
"August 29, 2025","Supplies","AAB Baking Goods and Supplies Inc.",340.00,Non-Cash,Supplies,Store,,,,
"August 29, 2025","Whipping Cream","AAB Baking Goods and Supplies Inc.",2673.00,Non-Cash,Supplies,Store,,,,
"August 29, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"August 29, 2025","Delivery","Lalamove",240.00,Cash,Supplies,Store,,,,
"August 29, 2025","Delivery","Lalamove",140.00,Cash,Supplies,Store,,,,
"August 29, 2025","Banana 1kg","Unknown",170.00,Cash,Supplies,Store,,,,
"August 28, 2025","Delivery","Grab Mart",1843.00,Non-Cash,Supplies,Store,,,,
"August 28, 2025","Coconut Water 500ml x2","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 27, 2025","Ice","Ivoryway",270.00,Cash,Supplies,Store,,,,
"August 27, 2025","Paperbag L, 4's cupholder","AC Packaging",956.00,Non-Cash,Supplies,Store,,,,
"August 27, 2025","Oatmilk 30L","Allegro Beverage Corporation",6600.00,Non-Cash,Supplies,Store,,,,
"August 27, 2025","Dairymilk 60L everwhip","M.D.R Consumer Goods Trading",4710.00,Non-Cash,Supplies,Store,,,,
"August 26, 2025","Wooden spoon straw 6mm","Haig and Lee Import Export Corp.",3274.00,Non-Cash,Supplies,Store,,,,
"August 26, 2025","Ice","Ivoryway",112.50,Cash,Supplies,Store,,,,
"August 26, 2025","Warabi mochi","Lalamove",171.00,Cash,Delivery,Store,,,,
"August 25, 2025","12oz lids, cups, dome lids and 16oz lids, cups, dome lids","Irish Luck Inc",6361.60,Non-Cash,Supplies,Store,,,,
"August 25, 2025","Anchor whipped cream","AAB Baking Goods and Supplies Inc.",723.00,Non-Cash,Supplies,Store,,,,
"August 25, 2025","White sugar, whipped cream, oatmilk","S&R",2970.45,Non-Cash,Supplies,Store,,,,
"August 25, 2025","Cookies","Kukido Cookie Corp.",6545.00,Non-Cash,Supplies,Store,,,,
"August 25, 2025","Warabimochi","Lalamove",247.00,Cash,Delivery,Store,,,,
"August 25, 2025","MOA supplies","Grab",414.00,Cash,Delivery,Store,,,,
"August 25, 2025","Cups and lids","Lalamove",213.00,Cash,Delivery,Store,,,,
"August 25, 2025","Drink","Lalamove",130.00,Cash,Delivery,Store,,,,
"August 25, 2025","Cookies","Lalamove",160.00,Cash,Delivery,Store,,,,
"August 25, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"August 24, 2025","Straws 6mm 500pcs","FMPT Packaging Supplies Trading",575.00,Non-Cash,Supplies,Store,,,,
"August 24, 2025","Oatside milk","Waltermat Supermarket",1215.00,Non-Cash,Supplies,Store,,,,
"August 24, 2025","Coconut Water 1L","Fruitas",160.00,Cash,Supplies,Store,,,,
"August 24, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"August 23, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"August 23, 2025","Dairymilk, white sugar","M.D.R Consumer Goods Trading",4000.00,Non-Cash,Supplies,Store,,,,
"August 23, 2025","Banana","Food Alley",160.00,Cash,Supplies,Store,,,,
"August 22, 2025","Oatmilk, mascarpone, whipped cream","S&R",6411.30,Non-Cash,Supplies,Store,,,,
"August 22, 2025","Oatmilk 2L","TDC",420.00,Cash,Supplies,Store,,,,
"August 22, 2025","Ice","Unknown",202.50,Cash,Supplies,Store,,,,
"August 22, 2025","Egg Large Tray","Builtamart",380.00,Non-Cash,Supplies,Store,,,,
"August 21, 2025","Battery","Erdy",374.00,Cash,Supplies,Store,,,,
"August 21, 2025","Cookies","Lalamove",160.00,Cash,Delivery,Store,,,,
"August 21, 2025","Redelivered for grab","Lalamove",139.00,Cash,Delivery,Store,,,,
"August 21, 2025","Ice","Unknown",295.00,Cash,Supplies,Store,,,,
"August 21, 2025","Delivery","Lalamove",150.00,Cash,Delivery,Store,,,,
"August 20, 2025","Dishwashing liquid","Unknown",215.00,Cash,Supplies,Store,,,,
"August 20, 2025","Whipped cream, unsalted butter, eggs","S&R",3081.75,Non-Cash,Supplies,Store,,,,
"August 20, 2025","Banana","AJ Fruit House",135.00,Cash,Supplies,Store,,,,
"August 20, 2025","Warabi mochi","Lalamove",171.00,Cash,Delivery,Store,,,,
"August 20, 2025","Ice","Ivoryway",170.00,Cash,Supplies,Store,,,,
"August 20, 2025","Coconut water","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 19, 2025","Refund Customer (No stock of Oatmilk)","Unknown",50.00,Cash,Supplies,Store,,,,
"August 19, 2025","Customer Tissue 60 packs","Boduo Raw Milktea Hub",2486.40,Non-Cash,Supplies,Store,,,,
"August 19, 2025","Strawberry Syrup 2L","Greenstar One Enterprises",1980.00,Non-Cash,Supplies,Store,,,,
"August 19, 2025","Ice","Ivoryway",112.50,Cash,Supplies,Store,,,,
"August 19, 2025","Dairy Milk, White choco syrup","M.D.R Consumer Goods Trading",4570.00,Non-Cash,Supplies,Store,,,,
"August 18, 2025","Delivery","Lalamove",140.00,Cash,Supplies,Store,,,,
"August 18, 2025","Scotch tapes","National Bookstore",150.00,Cash,Supplies,Store,,,,
"August 18, 2025","Tube Ice","Unknown",135.00,Cash,Supplies,Store,,,,
"August 17, 2025","Delivery","Lalamove",171.00,Cash,Supplies,Store,,,,
"August 17, 2025","Sea salt, Clingwrap, Warabi Sauce Container","SM",610.00,Cash,Supplies,Store,,,,
"August 17, 2025","Marker Pen","National Bookstore",126.00,Cash,Supplies,Store,,,,
"August 17, 2025","Ice","Ivoryway",202.50,Cash,Supplies,Store,,,,
"August 17, 2025","Coconut Water 1L","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 17, 2025","White Sugar, Whipped Cream","S&R",3132.15,Non-Cash,Supplies,Store,,,,
"August 16, 2025","Everwhip","MDR Baking & Restaurant Supplies",5010.00,Non-Cash,Supplies,Store,,,,
"August 16, 2025","Delivery","Lalamove",180.00,Cash,Supplies,Store,,,,
"August 16, 2025","Banana","Food Alley",128.00,Cash,Supplies,Store,,,,
"August 16, 2025","Coconut Water 500ml","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 16, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"August 15, 2025","Devondalex 5L","Milk",811.00,Cash,Supplies,Store,,,,
"August 15, 2025","Ice cream pan","Lalamove",150.00,Cash,Delivery,Store,,,,
"August 15, 2025","Ice","Unknown",295.00,Cash,Supplies,Store,,,,
"August 15, 2025","Ice","SM",112.00,Cash,Supplies,Store,,,,
"August 15, 2025","Cookies","Lalamove",140.00,Cash,Supplies,Store,,,,
"August 15, 2025","Ice tube","Lalamove",121.00,Cash,Delivery,Store,,,,
"August 14, 2025","Warabi mochi","Lalamove",171.00,Cash,Delivery,Store,,,,
"August 14, 2025","Oatmilk 1L","TDC",210.00,Cash,Supplies,Store,,,,
"August 14, 2025","Tube ice (5pcs)","Unknown",344.00,Cash,Supplies,Store,,,,
"August 13, 2025","Big Mommymilf Pizza","Unknown",1229.00,Cash,Supplies,Store,,,,
"August 13, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"August 13, 2025","Masking tape, Sales book","National Bookstore",131.00,Cash,Supplies,Store,,,,
"August 13, 2025","Rider tip","Lalamove",50.00,Cash,Delivery,Store,,,,
"August 12, 2025","Delivery","Lalamove",4536.00,Non-Cash,Supplies,Store,,,,
"August 12, 2025","Delivery","Grab Mart",150.00,Cash,Supplies,Store,,,,
"August 12, 2025","Delivery","Lalamove",171.00,Cash,Supplies,Store,,,,
"August 12, 2025","Ice","R&BTube Ice",135.00,Cash,Supplies,Store,,,,
"August 12, 2025","Delivery","S&R",2995.00,Non-Cash,Supplies,Store,,,,
"August 12, 2025","Coconut Water 1000ml","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 12, 2025","Egg Small 6pcs","Food Alley",90.00,Cash,Supplies,Store,,,,
"August 11, 2025","Dalandan Concentrate, Oatmilk","Unknown",4015.00,Non-Cash,Supplies,Store,,,,
"August 11, 2025","Delivery","Lalamove",140.00,Cash,Supplies,Store,,,,
"August 11, 2025","Ice","Unknown",225.00,Cash,Supplies,Store,,,,
"August 11, 2025","Refund of Customer (Card to Cash)","Unknown",170.00,Cash,Supplies,Store,,,,
"August 10, 2025","Delivery","Lalamove",171.00,Cash,Supplies,Store,,,,
"August 10, 2025","Egg 12pcs","Unknown",180.00,Cash,Supplies,Store,,,,
"August 10, 2025","Delivery","S&R",2819.00,Non-Cash,Supplies,Store,,,,
"August 10, 2025","Ice","R&BTube Ice",270.00,Cash,Supplies,Store,,,,
"August 10, 2025","Coconut Water 1000ml","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 9, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"August 9, 2025","Tape","National Bookstore",272.00,Cash,Supplies,Store,,,,
"August 8, 2025","Whipping Cream 4L, Bunge 1L, DLASb 1Can","Global Pacific",4075.00,Non-Cash,Supplies,Store,,,,
"August 8, 2025","Battery","National Bookstore",187.00,Cash,Supplies,Store,,,,
"August 8, 2025","Ice","R&BTube Ice",247.00,Cash,Supplies,Store,,,,
"August 8, 2025","6mm Straw 500, 12mm Straw 100, Cup Holder 100","AC Packaging",1380.00,Non-Cash,Supplies,Store,,,,
"August 7, 2025","Coconut Water 1000ml","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 7, 2025","Monin Strawberry 4L","Greenstar",1980.00,Non-Cash,Supplies,Store,,,,
"August 7, 2025","Oatside 24L","Landers",3076.00,Non-Cash,Supplies,Store,,,,
"August 7, 2025","Laciate 60L","Laciate",4800.00,Non-Cash,Supplies,Store,,,,
"August 7, 2025","Grocery","Supermarket",133.00,Cash,Supplies,Store,,,,
"August 6, 2025","Rider Tip","Unknown",50.00,Cash,Supplies,Store,,,,
"August 6, 2025","Dairy milk 6L","Builtamart",834.00,Non-Cash,Supplies,Store,,,,
"August 6, 2025","Oatside","TDC",210.00,Cash,Supplies,Store,,,,
"August 5, 2025","Delivery","Shopee",191.00,Cash,Supplies,Store,,,,
"August 5, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"August 4, 2025","Paperbag L, 4 Cups Holder","AC Packaging",2196.00,Non-Cash,Supplies,Store,,,,
"August 4, 2025","Delivery","Lalamove",150.00,Cash,Delivery,Store,,,,
"August 4, 2025","Salted Caramel Syrup","M.D.R Consumer Goods Trading",970.00,Non-Cash,Supplies,Store,,,,
"August 4, 2025","Delivery","Lalamove",140.00,Cash,Supplies,Store,,,,
"August 4, 2025","Bags","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"August 3, 2025","Ice","Unknown",225.00,Cash,Supplies,Store,,,,
"August 3, 2025","Buco half","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 2, 2025","Full Cream Milk","Gavinos Group Inc.",4800.00,Non-Cash,Supplies,Store,,,,
"August 2, 2025","Delivery","S&R",3533.25,Non-Cash,Supplies,Store,,,,
"August 2, 2025","Ice","R&BTube Ice",157.50,Cash,Supplies,Store,,,,
"August 1, 2025","Grocery","Supermarket",1217.00,Cash,Supplies,Store,,,,
"August 1, 2025","Banana","Unknown",150.00,Cash,Supplies,Store,,,,
"August 1, 2025","Marker","National Bookstore",83.00,Cash,Supplies,Store,,,,
"August 1, 2025","Grocery","Supermarket",203.00,Cash,Supplies,Store,,,,
"August 1, 2025","Delivery","Grab Mart",2344.00,Non-Cash,Supplies,Store,,,,
"August 1, 2025","Ice bags","R&BTube Ice",292.00,Cash,Supplies,Store,,,,
"August 1, 2025","Gloves","Unknown",203.00,Cash,Supplies,Store,,,,
"August 1, 2025","Drinks Error Delivery","Lalamove",78.00,Cash,Delivery,Store,,,,
"August 1, 2025","Grab-ICE","Grab",339.00,Cash,Delivery,Store,,,,
"July 31, 2025","Delivery","Lalamove",140.00,Cash,Supplies,Store,,,,
"July 31, 2025","Sweet potato","Unknown",180.00,Cash,Supplies,Store,,,,
"July 31, 2025","Grocery","Supermarket",360.00,Cash,Supplies,Store,,,,
"July 30, 2025","Ice bags","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"July 30, 2025","Delivery","Lalamove",180.00,Cash,Supplies,Store,,,,
"July 30, 2025","Delivery","Lalamove",155.00,Cash,Supplies,Store,,,,
"July 29, 2025","Coconut Water 1000ml","Fruitas",170.00,Cash,Supplies,Store,,,,
"July 29, 2025","Ice","7/11",90.00,Cash,Supplies,Store,,,,
"July 29, 2025","Ice","Ivoryway",202.50,Cash,Supplies,Store,,,,
"July 28, 2025","Delivery","Grab Mart",1843.00,Non-Cash,Supplies,Store,,,,
"July 28, 2025","Cookies","Lalamove",228.00,Cash,Delivery,Store,,,,
"July 28, 2025","Mascarpone","Arlene's Dairyhouse",1870.00,Non-Cash,Supplies,Store,,,,
"July 28, 2025","Trash Bags, Dalandan Juice, Condensed milk","SM",1143.50,Cash,Supplies,Store,,,,
"July 28, 2025","Warabi Mochi","Lalamove",150.00,Cash,Delivery,Store,,,,
"July 28, 2025","Ice","Ivoryway",135.00,Cash,Supplies,Store,,,,
"July 27, 2025","Dairy 60L, White Sugar 5kg","M.D.R Consumer Goods Trading",4900.00,Non-Cash,Supplies,Store,,,,
"July 27, 2025","Ice","Ivoryway",247.50,Cash,Supplies,Store,,,,
"July 26, 2025","Ice","Ivoryway",270.00,Cash,Supplies,Store,,,,
"July 26, 2025","Coconut Water","Fruitas",170.00,Cash,Supplies,Store,,,,
"July 25, 2025","Pizza","Unknown",1100.00,Cash,Supplies,Store,,,,
"July 25, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"July 25, 2025","1L oat","TDC",210.00,Cash,Supplies,Store,,,,
"July 25, 2025","Refund Cash Money (Customer Gcash Payment)","Unknown",100.00,Cash,Supplies,Store,,,,
"July 24, 2025","Cookies","Lalamove",150.00,Cash,Delivery,Store,,,,
